OfferId,Outlet Name,Address line 1,Address line 2,Town/city,County,Postcode,Phone  ,Website,Description,Disabled access,ClaimCode,BookingInstructions,CategoryKey,
1,Tiverton Castle,Park Hill,,Tiverton,Devon,EX16 6RP,01884 253 300,www.tivertoncastle.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on any paying adult,Limited to ground floor & garden,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on any paying adult,,
2,1940s Swansea Bay,Baldwin's Cresent,Crymlyn Burrows,Swansea,Glamorgan,SA1 8PT,01792 458864,www.1940sswanseabay.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1; closed some winter days, check availability",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1; closed some winter days, check availability",,
3,Top Events Outdoor Activities,Westmill Farm Leisure Complex,Westmill Road (A602),Ware,Hertfordshire,SG12 0ES,07801 711 701,www.topevents.gb.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Aerial Adventure ropes course pay for 1 adult (16 - 65 yrs) get 1 child free (6 - 15 yrs) Valid to 30th September 2015,YES to area not on activity,,Advanced booking is required. All Group admittances are at the discretion of the venue. Aerial Adventure ropes course pay for 1 adult (16 - 65 yrs) get 1 child free (6 - 15 yrs) Valid to 30th September 2015,,
4,The Pencil Museum,Southey Works,,Keswick,Cumbria,CA12 5NG,01768 773 626 ,www.pencilmuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,,
5,Powell - Cotton Museum,Quex Park,Park Lane,Birchington-on-sea,Kent,CT7 0BH,01843 842 168,www.quexmuseum.org,Advanced booking is required. All Group admittances are at the discretion of the venue. Excluding Special events days (listed on our website). One free adult entry with a full paying adult.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Excluding Special events days (listed on our website). One free adult entry with a full paying adult.,,
6,New Forest Museum,New Forest Centre,High Street,Lyndhurst,Hampshire,SO43 7NY,02380 283 444,www.newforestcentre.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to the New Forest Museum. Open daily from 10am. Last admission 4pm. (Closed 25 & 26 Dec, Last week Jan & 1 Feb)",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 entry to the New Forest Museum. Open daily from 10am. Last admission 4pm. (Closed 25 & 26 Dec, Last week Jan & 1 Feb)",,
7,The Big Sheep Family Attraction,Abbotsham,,Bideford,Devon,EX39 5AR,01237 472 366,www.thebigsheep.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 voucher per transaction. Buy one person, get second person for free. Cheapest goes free. Vouchers cannot be used in conjunction with any other offer or promotion. Photocopies not accepted.",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 voucher per transaction. Buy one person, get second person for free. Cheapest goes free. Vouchers cannot be used in conjunction with any other offer or promotion. Photocopies not accepted.",,
8,Museum of the Lead Mining,The Visitor Centre,Wanlockhead Village,Dumfries & Galloway,Lanarkshire,ML12 6UT,0165 974 387,www.leadminingmuseum.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 deal on admission prices. Not to be used in conjunction with any other offer. Does not include Gold Panning,No,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 deal on admission prices. Not to be used in conjunction with any other offer. Does not include Gold Panning,,
9,Ingatestone Hall,Hall Lane,,Ingatestone,Essex,CM4 9NR,01277 353 010,www.ingatestonehall.com,Advanced booking is required. All Group admittances are at the discretion of the venue. Offer does NOT apply for Special Events,No,,Advanced booking is required. All Group admittances are at the discretion of the venue. Offer does NOT apply for Special Events,,
10,The Guards Museum,Wellington Barracks,Birdcage Walk,,London,SW1E 6HQ,0207 414 3428,www.theguardsmuseum.com,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1,,
11,Stoneleigh Abbey,Estate Office,,Stoneleigh Abbey,Kenilworth,CV8 2LF,01926 858 535,www.stoneleighabbey.org,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on House Tours,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on House Tours,,
12,Shrewsbury Museum & Art Gallery,The Square,,Shrewsbury,West Midlands,SY1 1LH,01743 258 885,www.shrewsburymuseum.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Open daily except Mondays in the winter. Open Mondays from 16/02/2015,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Open daily except Mondays in the winter. Open Mondays from 16/02/2015,,
13,Appuldurcombe,,,Wroxall,Isle of Wight,PO38 3EW,01983 852 484,www.appuldurcombe.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Open 1st April to 30th September
Sunday to Fridays 10am - 5pm",Limited,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Open 1st April to 30th September
Sunday to Fridays 10am - 5pm",,
14,Teesside Princess,Castlegate Quay,Moat Street,Stockton-on-tees,Cleveland,TS18 3AZ,01642 608 038,www.teessideprincess.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Day cruises ONLY - Excludes Food and Drink,Limited,,Advanced booking is required. All Group admittances are at the discretion of the venue. Day cruises ONLY - Excludes Food and Drink,,
15,Loch of the Lowes Visitor Centre,,Dunkeld,,Perth and Kinross,PH8 0HH,01350 727 337,scottishwildlifetrust.org.uk/visit/loch-of-the-lowes,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Entry for Adults or Concessions (If there is one adult & one concession, concession is free)",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Entry for Adults or Concessions (If there is one adult & one concession, concession is free)",,
16,Silk Museum,Park Lane,,Macclesfield,Cheshire,SK11 6TJ,01625 612 045,www.silkmacclesfield.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Opening to be checked before visit.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Opening to be checked before visit.,,
17,Frog and Bucket Comedy Club,102 Oldham Street,,Manchester,Lancashire,M4 1LJ,0161 236 9805,www.frogandbucket.com,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 for any Thursday show, excludes Christmas shows. �1.50 per ticket booking fee applies. 2 for 1 will be applied to the booking fee also.",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 for any Thursday show, excludes Christmas shows. �1.50 per ticket booking fee applies. 2 for 1 will be applied to the booking fee also.",,
18,Party and Play Funhouse Ltd,"Unit 12 Barrs Fold Close,
Wingates Industrial Estate",Westhoughton,Bolton,Lancashire,BL5 3XA,01942 818 195,www.partyandplayfunhouse.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. ,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. ,,
19,Pirate Cove ,Pirate Cove Adventure Park,External Wintergarden,Bluewater,Kent,DA9 9SF,01322 427 270,www.piratecove.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - can only be used once per customer,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - can only be used once per customer,,
20,Skegness Bowl & Laserquest,"Skegness Bowl, Skegness Pier",Grand Parade,Skegness,Lincolnshire,PE25 2UE,01754 761 341,www.skegnesspier.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one on Games of Bowling or Laserquest for the price of one. Subject to lane & pack availability. Excludes Bank Holiday,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one on Games of Bowling or Laserquest for the price of one. Subject to lane & pack availability. Excludes Bank Holiday,,
21,Penlee Hense Gallery & Museum,Morrab Road,,Penzance,Cornwall,TR18 4HE,01736 363 625,www.penleehense.org.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Entry, Monday - Sunday, under 18s go Free",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 Entry, Monday - Sunday, under 18s go Free",,
22,Satrosphere Science Centre,"The Tramsheds, 179 Constitution Street",,Aberdeen,Aberdeenshire,AB24 5TU,01224 640 340,www.aberdeensciencecentre.org,"Advanced booking is required. All Group admittances are at the discretion of the venue. Opening times may vary.
Offer cannot be used in conjunction with any other offer, offer is valid for one person, per visit,  Vouchers cannot be exchanged for cash, transport to the venue is not included.",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Opening times may vary.
Offer cannot be used in conjunction with any other offer, offer is valid for one person, per visit,  Vouchers cannot be exchanged for cash, transport to the venue is not included.",,
23,National Motorcycle Museum,Coventry Road,Bickenhill,Solihull,West Midlands,B92 0ES,01675 443 311,www.tuenmm.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. ,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. ,,
24,Stondon Motor Museum,Station Road,Lower Stondon,Henlow,Bedfordshire,SG16 6JN,01462 850 339,www.transportmuseum.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Closed December & January. Open 1st February - 6 Days a week Closed Fridays.
Except good friday when we are open 10am - 4pm",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Closed December & January. Open 1st February - 6 Days a week Closed Fridays.
Except good friday when we are open 10am - 4pm",,
25,Brading Roman Villa,Morton Old Road,,Brading,Isle of Wight,PO36 0PH,01983 406 223,www.bradingromanvilla.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 museum admission. Not valid for special events.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 museum admission. Not valid for special events.,,
26,Dudley Zoological Gardens,Castle Hill,,Dudley,West Midlands,DY1 4QF,0844 474 2272,www.dudleyzoo.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - Free admission for one person when accompanied by one full paying adult. Not valid on Public or Bank Holidays,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - Free admission for one person when accompanied by one full paying adult. Not valid on Public or Bank Holidays,,
27,Havering Museum,The Brewery Gate,19 - 21 High Street,Romford,Essex,RM1 1JU,01708 766 571,www.haveringmuseum.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two usual admission tickets for the price of one.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Two usual admission tickets for the price of one.,,
28,Jungle Jim's,17 Fullerton Road,,Glenrothes,Fife,KY7 5QR,01592 755 111 or 01592 755 117,https://www.facebook.com/pages/Jungle-Jims-Glenrothes/135701613116903?sk=info&tab=overview,"Advanced booking is required. All Group admittances are at the discretion of the venue. Play & Eat under 3 - �4.50 3 and Over �5.50 Monday to Friday (Not Including school holidays)
Cheapest ticket is Free",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Play & Eat under 3 - �4.50 3 and Over �5.50 Monday to Friday (Not Including school holidays)
Cheapest ticket is Free",,
29,Playpit Nuneaton,7 Freer Street,Attleborough,Nuneaton,Warwickshire,CV11 4PR,02476 340 130,www.playpitnuneaton.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Unlimited play. Open 7 Days. Activities included.,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Unlimited play. Open 7 Days. Activities included.,,
30,The St Columba Heritage Centre,51 - 61 Long Tower Street,Derry,Londonderry,Northern Ireland,BT48 6QQ,02871 368 491,www.stcolumbaheritage.org,Advanced booking is required. All Group admittances are at the discretion of the venue. Centre open every day from April1st Closed Mondays Sept 31st - April 1st. ,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Centre open every day from April1st Closed Mondays Sept 31st - April 1st. ,,
31,Pirates Play Centre,41 Rowley Drive,Sherwood,Nottingham,Nottinghamshire,NG5 1GD,01159 603 363,www.piratesplay.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. Offer valid Monday - Friday, term time only & Summer School Holiday. Excludes weekends, Feb, Easter, May, Oct & xmas holiday",YES,,"Advanced booking is required. All Group admittances are at the discretion of the venue. Offer valid Monday - Friday, term time only & Summer School Holiday. Excludes weekends, Feb, Easter, May, Oct & xmas holiday",,
32,Number Seven Boat Trips Ltd,Excalibur,,Welsh Bach,Bristol,BS1 4SB,01179 293 659,www.numbersevenboattrips.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1, public round trips",NO,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1, public round trips",,
33,Quasar,4 Bang St,,Sheffield,South Yorkshire,S1 2DS,0114 272 1400,www.laserfun.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - Valid Mon - Sun - Booking essential. Not to be used in conjunction with any other offers.,NO,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 - Valid Mon - Sun - Booking essential. Not to be used in conjunction with any other offers.,,
34,Polar Palace Play & Party Centre,Unit 10 Pineapple Park,Road One,Winsford Industrial Estate,Winsford,CW7 3PR,01606 863 623,www.polarpalace.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 any day,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 any day,,
35,Bo'Ness Motor Museum,Bridgeness Road,,Bo'ness,Falkirk,EH51 9JR,01506 827 007,www.motor-museum.bo-ness.org.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 available on full paying adult price of �5.95,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 available on full paying adult price of �5.95,,
36,Rushmoor Country Park,Louth Road,,North Cockerington,Louth,LN11 7DY,01507 327 184,www.rushmoorpark.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one. (Not available with Early Bird Voucher) Excludes Bank Holiday,YES,,Advanced booking is required. All Group admittances are at the discretion of the venue. Two for one. (Not available with Early Bird Voucher) Excludes Bank Holiday,,
37,Want to canoe?,Racquety Farm,"Racquety Lodge, Racquty Farm",Hay-on-Wye,Herefordshire,HR3 5RS,01497 820 604,www.canoehire.co.uk,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on day trip canoe hire, Tuesday - Thursday all year round. T&C's apply and booking essential",Yes by arrangement,,"Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 on day trip canoe hire, Tuesday - Thursday all year round. T&C's apply and booking essential",,
38,Yesterdays World,"89 - 90 High Street
",,Battle,"
East Sussex",TN33 0AQ,01424 777 226,www.yesterdaysworld.co.uk,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 when accompanied by a full paying adult. Valid in 2015 only. Not to be used in conjunction with any other offer.,NO,,Advanced booking is required. All Group admittances are at the discretion of the venue. 2 for 1 when accompanied by a full paying adult. Valid in 2015 only. Not to be used in conjunction with any other offer.,,
